,역명,link
0,서울역,0
1,시청,1
2,종각,2
3,종로3가,3
4,종로5가,4
5,동대문,5
6,신설동,6
7,제기동,7
8,청량리(서울시립대입구),8
9,동묘앞,9
10,을지로입구,10
11,을지로3가,11
12,을지로4가,12
13,동대문역사문화공원(DDP),13
14,신당,14
15,상왕십리,15
16,왕십리(성동구청),16
17,한양대,17
18,뚝섬,18
19,성수,19
20,건대입구,20
21,구의(광진구청),21
22,강변(동서울터미널),22
23,잠실나루,23
24,잠실(송파구청),24
25,잠실새내,25
26,종합운동장,26
27,삼성(무역센터),27
28,선릉,28
29,역삼,29
30,강남,30
31,교대(법원.검찰청),31
32,서초,32
33,방배,33
34,사당,34
35,낙성대(강감찬),35
36,서울대입구(관악구청),36
37,봉천,37
38,신림,38
39,신대방,39
40,구로디지털단지,40
41,대림(구로구청),41
42,신도림,42
43,문래,43
44,영등포구청,44
45,당산,45
46,합정,46
47,홍대입구,47
48,신촌,48
49,이대,49
50,아현,50
51,충정로(경기대입구),51
52,용답,52
53,신답,53
54,도림천,54
55,양천구청,55
56,신정네거리,56
57,용두(동대문구청),57
58,지축,58
59,구파발,59
60,연신내,60
61,불광,61
62,녹번,62
63,홍제,63
64,무악재,64
65,독립문,65
66,경복궁(정부서울청사),66
67,안국,67
68,동대입구,68
69,약수,69
70,금호,70
71,옥수,71
72,압구정,72
73,신사,73
74,잠원,74
75,고속터미널,75
76,남부터미널(예술의전당),76
77,양재(서초구청),77
78,매봉,78
79,도곡,79
80,대치,80
81,학여울,81
82,대청,82
83,일원,83
84,수서,84
85,가락시장,85
86,경찰병원,86
87,오금,87
88,당고개,88
89,상계,89
90,노원,90
91,창동,91
92,쌍문,92
93,수유(강북구청),93
94,미아(서울사이버대학),94
95,미아사거리,95
96,길음,96
97,성신여대입구(돈암),97
98,한성대입구(삼선교),98
99,혜화,99
100,충무로,100
101,명동,101
102,회현(남대문시장),102
103,숙대입구(갈월),103
104,삼각지,104
105,신용산,105
106,이촌(국립중앙박물관),106
107,동작(현충원),107
108,총신대입구(이수),108
109,남태령,109
110,방화,110
111,개화산,111
112,김포공항,112
113,송정,113
114,마곡,114
115,발산,115
116,우장산,116
117,화곡,117
118,까치산,118
119,신정(은행정),119
120,목동,120
121,오목교(목동운동장앞),121
122,양평,122
123,영등포시장,123
124,신길,124
125,여의도,125
126,여의나루,126
127,마포,127
128,공덕,128
129,애오개,129
130,서대문,130
131,광화문(세종문화회관),131
132,청구,132
133,신금호,133
134,행당,134
135,마장,135
136,답십리,136
137,장한평,137
138,군자(능동),138
139,아차산(어린이대공원후문),139
140,광나루(장신대),140
141,천호(풍납토성),141
142,강동,142
143,길동,143
144,굽은다리(강동구민회관앞),144
145,명일,145
146,고덕,146
147,상일동,147
148,둔촌동,148
149,올림픽공원(한국체대),149
150,방이,150
151,개롱,151
152,거여,152
153,마천,153
154,미사,154
155,하남풍산,155
156,응암,156
157,역촌,157
158,독바위,158
159,구산,159
160,새절(신사),160
161,증산(명지대앞),161
162,디지털미디어시티,162
163,월드컵경기장(성산),163
164,마포구청,164
165,망원,165
166,상수,166
167,광흥창(서강),167
168,대흥(서강대앞),168
169,효창공원앞,169
170,녹사평(용산구청),170
171,이태원,171
172,한강진,172
173,버티고개,173
174,창신,174
175,보문,175
176,안암(고대병원앞),176
177,고려대(종암),177
178,월곡(동덕여대),178
179,상월곡(한국과학기술연구원),179
180,돌곶이,180
181,석계,181
182,태릉입구,182
183,화랑대(서울여대입구),183
184,봉화산(서울의료원),184
185,장암,185
186,도봉산,186
187,수락산,187
188,마들,188
189,중계,189
190,하계,190
191,공릉(서울과학기술대),191
192,먹골,192
193,중화,193
194,상봉(시외버스터미널),194
195,면목,195
196,사가정,196
197,용마산(용마폭포공원),197
198,중곡,198
199,어린이대공원(세종대),199
200,뚝섬유원지,200
201,청담,201
202,강남구청,202
203,학동,203
204,논현,204
205,반포,205
206,내방,206
207,이수,207
208,남성,208
209,숭실대입구(살피재),209
210,상도,210
211,장승배기,211
212,신대방삼거리,212
213,보라매,213
214,신풍,214
215,남구로,215
216,가산디지털단지,216
217,철산,217
218,광명사거리,218
219,천왕,219
220,온수(성공회대입구),220
221,까치울,221
222,부천종합운동장,222
223,춘의,223
224,신중동,224
225,부천시청,225
226,상동,226
227,삼산체육관,227
228,굴포천,228
229,부평구청,229
230,암사,230
231,강동구청,231
232,몽촌토성(평화의문),232
233,석촌,233
234,송파,234
235,문정,235
236,장지,236
237,복정,237
238,산성,238
239,남한산성입구(성남법원.검찰청),239
240,단대오거리,240
241,신흥,241
242,수진,242
243,모란,243
244,신내,244
245,강일,245
246,하남검단산,246
247,하남시청(덕풍·신장),247
248,남위례,248
